"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Gender"	"Gender Code"	Births
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"January"	"1"	"Female"	"F"	1667
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"January"	"1"	"Male"	"M"	1737
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"January"	"1"			3404
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"February"	"2"	"Female"	"F"	1572
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"February"	"2"	"Male"	"M"	1568
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"February"	"2"			3140
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"March"	"3"	"Female"	"F"	1769
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"March"	"3"	"Male"	"M"	1868
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"March"	"3"			3637
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"April"	"4"	"Female"	"F"	1633
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"April"	"4"	"Male"	"M"	1684
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"April"	"4"			3317
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"May"	"5"	"Female"	"F"	1770
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"May"	"5"	"Male"	"M"	1866
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"May"	"5"			3636
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"June"	"6"	"Female"	"F"	1709
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"June"	"6"	"Male"	"M"	1788
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"June"	"6"			3497
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"July"	"7"	"Female"	"F"	1829
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"July"	"7"	"Male"	"M"	1897
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"July"	"7"			3726
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"August"	"8"	"Female"	"F"	1835
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"August"	"8"	"Male"	"M"	1878
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"August"	"8"			3713
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"September"	"9"	"Female"	"F"	1723
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"September"	"9"	"Male"	"M"	1837
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"September"	"9"			3560
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"October"	"10"	"Female"	"F"	1719
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"October"	"10"	"Male"	"M"	1756
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"October"	"10"			3475
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"November"	"11"	"Female"	"F"	1605
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"November"	"11"	"Male"	"M"	1754
